group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
os 8x up down,,,,,1068334.0,ns,142
os 8x up down,,,,,2077333.0,ns,284
os 8x up down,,,,,3092750.0,ns,426
os 8x up down,,,,,4040041.0,ns,568
os 8x up down,,,,,4981250.0,ns,710
os 8x up down,,,,,5948708.0,ns,852
os 8x up down,,,,,6988208.0,ns,994
os 8x up down,,,,,7950625.0,ns,1136
os 8x up down,,,,,8965625.0,ns,1278
os 8x up down,,,,,9938166.0,ns,1420
os 8x up down,,,,,10918333.0,ns,1562
os 8x up down,,,,,11940083.0,ns,1704
os 8x up down,,,,,12899542.0,ns,1846
os 8x up down,,,,,13892209.0,ns,1988
os 8x up down,,,,,14876125.0,ns,2130
os 8x up down,,,,,15925083.0,ns,2272
os 8x up down,,,,,16897291.0,ns,2414
os 8x up down,,,,,17906125.0,ns,2556
os 8x up down,,,,,18857708.0,ns,2698
os 8x up down,,,,,19891750.0,ns,2840
os 8x up down,,,,,20833083.0,ns,2982
os 8x up down,,,,,21857916.0,ns,3124
os 8x up down,,,,,22887500.0,ns,3266
os 8x up down,,,,,23802083.0,ns,3408
os 8x up down,,,,,24777333.0,ns,3550
os 8x up down,,,,,25811917.0,ns,3692
os 8x up down,,,,,26786750.0,ns,3834
os 8x up down,,,,,27781166.0,ns,3976
os 8x up down,,,,,28744958.0,ns,4118
os 8x up down,,,,,29923250.0,ns,4260
os 8x up down,,,,,30756958.0,ns,4402
os 8x up down,,,,,31811125.0,ns,4544
os 8x up down,,,,,32725250.0,ns,4686
os 8x up down,,,,,33717208.0,ns,4828
os 8x up down,,,,,34760833.0,ns,4970
os 8x up down,,,,,35749041.0,ns,5112
os 8x up down,,,,,36728583.0,ns,5254
os 8x up down,,,,,37765541.0,ns,5396
os 8x up down,,,,,38701166.0,ns,5538
os 8x up down,,,,,39693333.0,ns,5680
os 8x up down,,,,,40697083.0,ns,5822
os 8x up down,,,,,41658209.0,ns,5964
os 8x up down,,,,,42704458.0,ns,6106
os 8x up down,,,,,43750791.0,ns,6248
os 8x up down,,,,,44738083.0,ns,6390
os 8x up down,,,,,45697542.0,ns,6532
os 8x up down,,,,,46639834.0,ns,6674
os 8x up down,,,,,47709833.0,ns,6816
os 8x up down,,,,,48635000.0,ns,6958
os 8x up down,,,,,49692958.0,ns,7100
os 8x up down,,,,,50638500.0,ns,7242
os 8x up down,,,,,51560042.0,ns,7384
os 8x up down,,,,,52621125.0,ns,7526
os 8x up down,,,,,53736167.0,ns,7668
os 8x up down,,,,,54784333.0,ns,7810
os 8x up down,,,,,55636042.0,ns,7952
os 8x up down,,,,,56588750.0,ns,8094
os 8x up down,,,,,57614708.0,ns,8236
os 8x up down,,,,,58587625.0,ns,8378
os 8x up down,,,,,59538041.0,ns,8520
os 8x up down,,,,,60561500.0,ns,8662
os 8x up down,,,,,61575750.0,ns,8804
os 8x up down,,,,,62715834.0,ns,8946
os 8x up down,,,,,63587084.0,ns,9088
os 8x up down,,,,,64494042.0,ns,9230
os 8x up down,,,,,65587125.0,ns,9372
os 8x up down,,,,,66514042.0,ns,9514
os 8x up down,,,,,67460834.0,ns,9656
os 8x up down,,,,,68427208.0,ns,9798
os 8x up down,,,,,69676541.0,ns,9940
os 8x up down,,,,,70573666.0,ns,10082
os 8x up down,,,,,71490583.0,ns,10224
os 8x up down,,,,,72502875.0,ns,10366
os 8x up down,,,,,73474166.0,ns,10508
os 8x up down,,,,,74458000.0,ns,10650
os 8x up down,,,,,75442500.0,ns,10792
os 8x up down,,,,,76499584.0,ns,10934
os 8x up down,,,,,77514875.0,ns,11076
os 8x up down,,,,,78396959.0,ns,11218
os 8x up down,,,,,79425708.0,ns,11360
os 8x up down,,,,,80408166.0,ns,11502
os 8x up down,,,,,81332416.0,ns,11644
os 8x up down,,,,,82512291.0,ns,11786
os 8x up down,,,,,83455083.0,ns,11928
os 8x up down,,,,,84348625.0,ns,12070
os 8x up down,,,,,85394250.0,ns,12212
os 8x up down,,,,,86365583.0,ns,12354
os 8x up down,,,,,87332416.0,ns,12496
os 8x up down,,,,,88452833.0,ns,12638
os 8x up down,,,,,89451042.0,ns,12780
os 8x up down,,,,,90307000.0,ns,12922
os 8x up down,,,,,91320542.0,ns,13064
os 8x up down,,,,,92357792.0,ns,13206
os 8x up down,,,,,93259958.0,ns,13348
os 8x up down,,,,,94456083.0,ns,13490
os 8x up down,,,,,95276791.0,ns,13632
os 8x up down,,,,,96384416.0,ns,13774
os 8x up down,,,,,97221291.0,ns,13916
os 8x up down,,,,,98239333.0,ns,14058
os 8x up down,,,,,99493042.0,ns,14200
